name,ranked,genre,theme,status,episodes,duration,start_date,end_date,favorites
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Ranked #73,"AdventureAdventure,","GoreGore,",Finished,1,1,"['Jan17', '2020']",[''],3.279
Tengen Toppa Gurren Lagann,Ranked #74,"ActionAction,",,Finished,27,24,"['Apr1', '2007']","['Sep30', '2007']",75.333
Natsume Yuujinchou Roku,Ranked #75,"DramaDrama,","IyashikeiIyashikei,",Finished,11,23,"['Apr12', '2017']","['Jun21', '2017']",1.038
Ping Pong the Animation,Ranked #76,Award,,Finished,11,23,"['Apr11', '2014']","['Jun20', '2014']",15.028
Shingeki no Kyojin Season 3,Ranked #77,"ActionAction,","GoreGore,",Finished,12,23,"['Jul23', '2018']","['Oct15', '2018']",19.605
Death Note,Ranked #78,"SupernaturalSupernatural,","DetectiveDetective,",Finished,37,23,"['Oct4', '2006']","['Jun27', '2007']",165.985
Kimetsu no Yaiba Movie: Mugen Ressha-hen,Ranked #79,"ActionAction,",,Finished,1,1,"['Oct16', '2020']",[''],12.564
Chainsaw Man,Ranked #80,"ActionAction,",,Finished,12,24,"['Oct12', '2022']","['Dec28', '2022']",39.754
Cyberpunk: Edgerunners,Ranked #81,"ActionAction,","GoreGore,",Finished,10,25,"['Sep13', '2022']",[''],17.879
Evangelion: 3.0+1.0 Thrice Upon a Time,Ranked #82,"ActionAction,","MechaMecha,",Finished,1,2,"['Mar8', '2021']",[''],6.756
Mo Dao Zu Shi: Wanjie Pian,Ranked #83,"ActionAction,","HistoricalHistorical,",Finished,12,24,"['Aug7', '2021']","['Oct16', '2021']",1.481
Suzumiya Haruhi no Shoushitsu,Ranked #84,Award,,Finished,1,2,"['Feb6', '2010']",[''],13.116
Mushishi Zoku Shou: Suzu no Shizuku,Ranked #85,"AdventureAdventure,",Adult,Finished,1,47,"['May16', '2015']",[''],209
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Ranked #86,"DramaDrama,",,Finished,1,1,"['Jun15', '2019']",[''],9.829
Hajime no Ippo: Rising,Ranked #87,,,Finished,25,22,"['Oct6', '2013']","['Mar30', '2014']",1.167
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,Ranked #88,"ActionAction,",,Finished,39,23,"['Oct6', '2018']","['Jul28', '2019']",30.024
Kizumonogatari II: Nekketsu-hen,Ranked #89,"ActionAction,",,Finished,1,1,"['Aug19', '2016']",[''],2.239
Natsume Yuujinchou San,Ranked #90,"DramaDrama,","IyashikeiIyashikei,",Finished,13,24,"['Jul5', '2011']","['Sep27', '2011']",1.351
Ookami Kodomo no Ame to Yuki,Ranked #91,Award,,Finished,1,1,"['Jul21', '2012']",[''],11.045
Natsume Yuujinchou Go,Ranked #92,"DramaDrama,","IyashikeiIyashikei,",Finished,11,23,"['Oct5', '2016']","['Dec21', '2016']",800
Shouwa Genroku Rakugo Shinjuu,Ranked #93,,"HistoricalHistorical,",Finished,13,26,"['Jan9', '2016']","['Apr2', '2016']",5.688
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Ranked #94,"ActionAction,","MechaMecha,",Finished,1,2,"['Apr22', '2009']",[''],933
Yojouhan Shinwa Taikei,Ranked #95,Award,"PsychologicalPsychological,",Finished,11,22,"['Apr23', '2010']","['Jul2', '2010']",17.545
Fruits Basket 2nd Season,Ranked #96,"DramaDrama,",,Finished,25,23,"['Apr7', '2020']","['Sep22', '2020']",5.642
Kenpuu Denki Berserk,Ranked #97,"ActionAction,","GoreGore,",Finished,25,25,"['Oct8', '1997']","['Apr1', '1998']",24.928
Kimi no Suizou wo Tabetai,Ranked #98,"DramaDrama,",,Finished,1,1,"['Sep1', '2018']",[''],19.205
Ousama Ranking,Ranked #99,"AdventureAdventure,",,Finished,23,22,"['Oct15', '2021']","['Mar25', '2022']",11.769
Neon Genesis Evangelion: The End of Evangelion,Ranked #100,Avant,"MechaMecha,",Finished,1,1,"['Jul19', '1997']",[''],26.882
Zoku Natsume Yuujinchou,Ranked #101,"DramaDrama,","IyashikeiIyashikei,",Finished,13,24,"['Jan6', '2009']","['Mar31', '2009']",1.405
Fate/Zero 2nd Season,Ranked #102,"ActionAction,",,Finished,12,24,"['Apr8', '2012']","['Jun24', '2012']",19.981
Karakai Jouzu no Takagi-san Movie,Ranked #103,,"IyashikeiIyashikei,",Finished,1,1,"['Jun10', '2022']",[''],598
Haikyuu!! To the Top Part 2,Ranked #104,,"SchoolSchool,",Finished,12,23,"['Oct3', '2020']","['Dec19', '2020']",5.872
Mushishi: Hihamukage,Ranked #105,"AdventureAdventure,","HistoricalHistorical,",Finished,1,45,"['Jan4', '2014']",[''],181
Nana,Ranked #106,"DramaDrama,",Adult,Finished,47,23,"['Apr5', '2006']","['Mar28', '2007']",26.740
Perfect Blue,Ranked #107,Avant,Adult,Finished,1,1,"['Feb28', '1998']",[''],17.372
Slam Dunk,Ranked #108,,"SchoolSchool,",Finished,101,23,"['Oct16', '1993']","['Mar23', '1996']",6.786
Suzume no Tojimari,Ranked #124,,,Finished,1,2,"['Nov11', '2022']",[''],1.943
Shingeki no Kyojin,Ranked #109,"ActionAction,","GoreGore,",Finished,25,24,"['Apr7', '2013']","['Sep29', '2013']",162.106
Shoujo☆Kageki Revue Starlight Movie,Ranked #110,,"MusicMusic,",Finished,1,2,"['Jun4', '2021']",[''],626
Sora yori mo Tooi Basho,Ranked #111,"AdventureAdventure,",,Finished,13,23,"['Jan2', '2018']","['Mar27', '2018']",13.420
Steins;Gate 0,Ranked #112,"DramaDrama,",,Finished,23,23,"['Apr12', '2018']","['Sep27', '2018']",11.254
Bakuman. 3rd Season,Ranked #113,"ComedyComedy,",,Finished,25,24,"['Oct6', '2012']","['Mar30', '2013']",2.928
Kara no Kyoukai Movie 5: Mujun Rasen,Ranked #114,"ActionAction,",,Finished,1,1,"['Aug16', '2008']",[''],4.481
Yuru Camp△ Season 2,Ranked #115,,"CGDCTCGDCT,",Finished,13,23,"['Jan7', '2021']","['Apr1', '2021']",2.865
Yakusoku no Neverland,Ranked #116,"MysteryMystery,","PsychologicalPsychological,",Finished,12,22,"['Jan10', '2019']","['Mar29', '2019']",32.051
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,Ranked #117,"ActionAction,",Adult,Finished,26,25,"['Jan1', '2004']","['Jan8', '2005']",3.085
Summertime Render,Ranked #118,"MysteryMystery,",,Finished,25,23,"['Apr15', '2022']","['Sep30', '2022']",6.727
Gintama Movie 1: Shinyaku Benizakura-hen,Ranked #119,"ActionAction,","HistoricalHistorical,",Finished,1,1,"['Apr24', '2010']",[''],596
Gintama.: Porori-hen,Ranked #120,"ActionAction,",Gag,Finished,13,23,"['Oct2', '2017']","['Dec25', '2017']",871
Hotaru no Haka,Ranked #121,,,Finished,1,1,"['Apr16', '1988']",[''],7.480
Kimetsu no Yaiba,Ranked #122,"ActionAction,",,Finished,26,23,"['Apr6', '2019']","['Sep28', '2019']",86.953
Road of Naruto,Ranked #126,"ActionAction,",,Finished,1,9,"['Oct3', '2022']",[''],100
Samurai Champloo,Ranked #123,"ActionAction,","HistoricalHistorical,",Finished,26,24,"['May20', '2004']","['Mar19', '2005']",35.784
One Punch Man,Ranked #125,"ActionAction,",Adult,Finished,12,24,"['Oct5', '2015']","['Dec21', '2015']",61.807
Shingeki no Kyojin Season 2,Ranked #127,"ActionAction,","GoreGore,",Finished,12,24,"['Apr1', '2017']","['Jun17', '2017']",20.708
Uchuu Kyoudai,Ranked #128,"ComedyComedy,",Adult,Finished,99,24,"['Apr1', '2012']","['Mar22', '2014']",3.775
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,Ranked #129,"ActionAction,",,Finished,1,1,"['Jan12', '2019']",[''],3.349
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,Ranked #130,"ActionAction,",,Finished,39,23,"['Apr2', '2016']","['Dec24', '2016']",37.604
Ansatsu Kyoushitsu 2nd Season,Ranked #131,"ActionAction,",,Finished,25,23,"['Jan8', '2016']","['Jul1', '2016']",17.178
Aria the Origination,Ranked #132,"FantasyFantasy,",,Finished,13,24,"['Jan8', '2008']","['Apr1', '2008']",4.016
Banana Fish,Ranked #133,"ActionAction,","DelinquentsDelinquents,",Finished,24,22,"['Jul6', '2018']","['Dec21', '2018']",28.638
Mob Psycho 100,Ranked #134,"ActionAction,",,Finished,12,24,"['Jul11', '2016']","['Sep27', '2016']",44.812
Rainbow: Nisha Rokubou no Shichinin,Ranked #135,"DramaDrama,","DelinquentsDelinquents,",Finished,26,22,"['Apr7', '2010']","['Sep29', '2010']",8.204
The First Slam Dunk,Ranked #139,,"SchoolSchool,",Finished,1,2,"['Dec3', '2022']",[''],125
Bungou Stray Dogs 4th Season,Ranked #140,"ActionAction,",Adult,Finished,13,23,"['Jan4', '2023']","['Mar29', '2023']",2.460
Jujutsu Kaisen 0 Movie,Ranked #136,"ActionAction,",,Finished,1,1,"['Dec24', '2021']",[''],8.489
Yuru Camp△ Movie,Ranked #137,,Adult,Finished,1,2,"['Jul1', '2022']",[''],320
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Ranked #138,Award,Mahou,Finished,1,1,"['Oct26', '2013']",[''],8.267
Chihayafuru 3,Ranked #141,"DramaDrama,",Love,Finished,24,22,"['Oct23', '2019']","['Mar25', '2020']",1.431
Gintama: The Semi-Final,Ranked #142,"ActionAction,",Gag,Finished,2,24,"['Jan15', '2021']","['Jan20', '2021']",232
Fruits Basket: Prelude,Ranked #143,"DramaDrama,",,Finished,1,1,"['Feb18', '2022']",[''],733
Yuu☆Yuu☆Hakusho,Ranked #144,"ActionAction,",Martial,Finished,112,24,"['Oct10', '1992']","['Jan7', '1995']",21.440
Nichijou,Ranked #145,,Gag,Finished,26,23,"['Apr3', '2011']","['Sep25', '2011']",22.362
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,Ranked #146,"AdventureAdventure,","IsekaiIsekai,",Finished,1,1,"['Aug30', '2019']",[''],4.627
Owarimonogatari,Ranked #147,"ComedyComedy,",,Finished,12,26,"['Oct4', '2015']","['Dec20', '2015']",2.781
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Ranked #148,"DramaDrama,","IsekaiIsekai,",Finished,12,29,"['Jan6', '2021']","['Mar24', '2021']",11.793
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Ranked #149,"DramaDrama,",,Finished,1,1,"['Apr20', '2013']",[''],2.515
Golden Kamuy 3rd Season,Ranked #150,"ActionAction,",Adult,Finished,12,23,"['Oct5', '2020']","['Dec21', '2020']",1.393
Jigokuraku,Ranked #151,"ActionAction,","GoreGore,",Currently,13,24,"['Apr1', '2023']",['?'],2.079
Zoku Owarimonogatari,Ranked #152,"ComedyComedy,",,Finished,6,28,"['Nov10', '2018']",[''],936
Mo Dao Zu Shi,Ranked #153,"ActionAction,","HistoricalHistorical,",Finished,15,25,"['Jul9', '2018']","['Oct6', '2018']",6.239
Mushishi Zoku Shou: Odoro no Michi,Ranked #154,"AdventureAdventure,",Adult,Finished,1,47,"['Aug20', '2014']",[''],116
Haikyuu!!,Ranked #155,,"SchoolSchool,",Finished,25,24,"['Apr6', '2014']","['Sep21', '2014']",70.382
