Year,Year,Home Team Name
1930.0,1930.0,Uruguay
1934.0,1934.0,Italy
1938.0,1938.0,Italy
1954.0,1954.0,Germany
1958.0,1958.0,Brazil
1962.0,1962.0,Brazil
1966.0,1966.0,England
1970.0,1970.0,Brazil
1974.0,1974.0,Germany
1978.0,1978.0,Argentina
1982.0,1982.0,Italy
1986.0,1986.0,Argentina
1990.0,1990.0,Germany
1994.0,1994.0,Brazil
1998.0,1998.0,France
2002.0,2002.0,Brazil
2006.0,2006.0,Italy
2010.0,2010.0,Spain
2014.0,2014.0,Germany
2018.0,2018.0,France
2022.0,2022.0,Argentina
